#Fastq_screen version: 0.14.1	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	314565882	312979656	99.50	163465	0.05	64449	0.02	251861	0.08	1106451	0.35
Ecoli	314565882	314565791	100.00	0	0.00	0	0.00	17	0.00	74	0.00
PhiX	314565882	314565880	100.00	0	0.00	0	0.00	2	0.00	0	0.00
Contamnts_Adaptrs	314565882	314565882	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	314565882	314538892	99.99	91	0.00	1	0.00	4364	0.00	22534	0.01
Bacteria_24k	314565882	313867605	99.78	26582	0.01	42281	0.01	103291	0.03	526123	0.17
Protists_1k	314565882	311493697	99.03	561077	0.18	767620	0.24	125671	0.04	1617817	0.51
Viruses	314565882	314034566	99.83	3466	0.00	1409	0.00	90885	0.03	435556	0.14
Fungi_RefSeq_release	314565882	313133018	99.54	92458	0.03	26752	0.01	274859	0.09	1038795	0.33
Coral	314565882	313803100	99.76	24311	0.01	8402	0.00	139263	0.04	590806	0.19
Bird	314565882	313477255	99.65	81825	0.03	9555	0.00	289028	0.09	708219	0.23
Plant	314565882	313942673	99.80	16886	0.01	2439	0.00	117910	0.04	485974	0.15

%Hit_no_genomes: 98.79
